model,panel,n,variable,window,RR,low,high
a. Absolute conditions,Pooled,175,Soil moisture,Lag 0-7 days,1.13,0.79,1.62
a. Absolute conditions,Pooled,175,Wind speed,Lag 0-7 days,1,0.8,1.24
a. Absolute conditions,Pooled,175,Runoff,Lag 0-7 days,0.97,0.69,1.36
a. Absolute conditions,Pooled,175,Anseriformes,Lag 0-7 days,1.03,0.85,1.26
a. Absolute conditions,Pooled,175,Temperature,Lag 8-14 days,0.99,0.85,1.14
a. Absolute conditions,Pooled,175,Precipitation,Lag 8-14 days,0.92,0.76,1.11
a. Absolute conditions,Pooled,175,Soil moisture,Lag 8-14 days,1.02,0.81,1.28
a. Absolute conditions,Pooled,175,Wind speed,Lag 8-14 days,1.01,0.87,1.17
a. Absolute conditions,Pooled,175,Runoff,Lag 8-14 days,1.02,0.82,1.26
a. Absolute conditions,Pooled,175,Anseriformes,Lag 8-14 days,1.14,1.03,1.27
a. Absolute conditions,Pooled,175,Temperature,Lag 15-21 days,0.93,0.76,1.14
a. Absolute conditions,Pooled,175,Precipitation,Lag 15-21 days,1,0.84,1.21
a. Absolute conditions,Pooled,175,Soil moisture,Lag 15-21 days,0.94,0.74,1.18
a. Absolute conditions,Pooled,175,Wind speed,Lag 15-21 days,1.02,0.87,1.19
a. Absolute conditions,Pooled,175,Runoff,Lag 15-21 days,1.06,0.87,1.3
a. Absolute conditions,Pooled,175,Anseriformes,Lag 15-21 days,1.26,1.12,1.42
a. Absolute conditions,Pooled,175,Temperature,Lag 22-28 days,0.88,0.63,1.21
a. Absolute conditions,Pooled,175,Precipitation,Lag 22-28 days,1.1,0.87,1.39
a. Absolute conditions,Pooled,175,Soil moisture,Lag 22-28 days,0.86,0.63,1.18
a. Absolute conditions,Pooled,175,Wind speed,Lag 22-28 days,1.03,0.84,1.25
a. Absolute conditions,Pooled,175,Runoff,Lag 22-28 days,1.11,0.85,1.44
a. Absolute conditions,Pooled,175,Anseriformes,Lag 22-28 days,1.39,1.15,1.69
b. 90-day shocks (departure from the preceding 90 days),Minnesota,85,Temperature,Lag 0-7 days,1.32,0.88,1.99
b. 90-day shocks (departure from the preceding 90 days),Minnesota,85,Precipitation,Lag 0-7 days,0.9,0.73,1.1
b. 90-day shocks (departure from the preceding 90 days),Minnesota,85,Soil moisture,Lag 0-7 days,0.84,0.68,1.03
b. 90-day shocks (departure from the preceding 90 days),Minnesota,85,Wind speed,Lag 0-7 days,1.05,0.87,1.27
b. 90-day shocks (departure from the preceding 90 days),Minnesota,85,Runoff,Lag 0-7 days,1.06,0.82,1.37
b. 90-day shocks (departure from the preceding 90 days),Minnesota,85,Anseriformes,Lag 0-7 days,0.86,0.57,1.29
b. 90-day shocks (departure from the preceding 90 days),Minnesota,85,Temperature,Lag 8-14 days,1.18,0.92,1.5
b. 90-day shocks (departure from the preceding 90 days),Minnesota,85,Precipitation,Lag 8-14 days,0.93,0.82,1.05
b. 90-day shocks (departure from the preceding 90 days),Minnesota,85,Soil moisture,Lag 8-14 days,0.88,0.77,1.01
b. 90-day shocks (departure from the preceding 90 days),Minnesota,85,Wind speed,Lag 8-14 days,1.04,0.92,1.16
b. 90-day shocks (departure from the preceding 90 days),Minnesota,85,Runoff,Lag 8-14 days,1.02,0.86,1.21
b. 90-day shocks (departure from the preceding 90 days),Minnesota,85,Anseriformes,Lag 8-14 days,1.25,1.05,1.48
b. 90-day shocks (departure from the preceding 90 days),Minnesota,85,Temperature,Lag 15-21 days,1.09,0.87,1.36
b. 90-day shocks (departure from the preceding 90 days),Minnesota,85,Precipitation,Lag 15-21 days,0.94,0.84,1.06
b. 90-day shocks (departure from the preceding 90 days),Minnesota,85,Soil moisture,Lag 15-21 days,0.91,0.79,1.04
b. 90-day shocks (departure from the preceding 90 days),Minnesota,85,Wind speed,Lag 15-21 days,1.02,0.91,1.15
b. 90-day shocks (departure from the preceding 90 days),Minnesota,85,Runoff,Lag 15-21 days,1,0.84,1.19
b. 90-day shocks (departure from the preceding 90 days),Minnesota,85,Anseriformes,Lag 15-21 days,1.74,1.37,2.2
b. 90-day shocks (departure from the preceding 90 days),Minnesota,85,Temperature,Lag 22-28 days,1.01,0.74,1.36
b. 90-day shocks (departure from the preceding 90 days),Minnesota,85,Precipitation,Lag 22-28 days,0.96,0.82,1.12
b. 90-day shocks (departure from the preceding 90 days),Minnesota,85,Soil moisture,Lag 22-28 days,0.93,0.78,1.12
b. 90-day shocks (departure from the preceding 90 days),Minnesota,85,Wind speed,Lag 22-28 days,1.01,0.86,1.19
b. 90-day shocks (departure from the preceding 90 days),Minnesota,85,Runoff,Lag 22-28 days,0.97,0.77,1.22
b. 90-day shocks (departure from the preceding 90 days),Minnesota,85,Anseriformes,Lag 22-28 days,2.42,1.54,3.78
b. 90-day shocks (departure from the preceding 90 days),Other flyway states,90,Temperature,Lag 0-7 days,0.99,0.63,1.56
b. 90-day shocks (departure from the preceding 90 days),Other flyway states,90,Precipitation,Lag 0-7 days,1.03,0.78,1.35
b. 90-day shocks (departure from the preceding 90 days),Other flyway states,90,Soil moisture,Lag 0-7 days,0.74,0.6,0.92
b. 90-day shocks (departure from the preceding 90 days),Other flyway states,90,Wind speed,Lag 0-7 days,1.23,1.02,1.5
b. 90-day shocks (departure from the preceding 90 days),Other flyway states,90,Runoff,Lag 0-7 days,0.92,0.75,1.14
b. 90-day shocks (departure from the preceding 90 days),Other flyway states,90,Anseriformes,Lag 0-7 days,1.02,0.77,1.34
b. 90-day shocks (departure from the preceding 90 days),Other flyway states,90,Temperature,Lag 8-14 days,1.06,0.81,1.4
b. 90-day shocks (departure from the preceding 90 days),Other flyway states,90,Precipitation,Lag 8-14 days,1.05,0.88,1.24
b. 90-day shocks (departure from the preceding 90 days),Other flyway states,90,Soil moisture,Lag 8-14 days,0.84,0.74,0.95
b. 90-day shocks (departure from the preceding 90 days),Other flyway states,90,Wind speed,Lag 8-14 days,1.07,0.94,1.22
b. 90-day shocks (departure from the preceding 90 days),Other flyway states,90,Runoff,Lag 8-14 days,0.95,0.83,1.09
b. 90-day shocks (departure from the preceding 90 days),Other flyway states,90,Anseriformes,Lag 8-14 days,1.08,0.94,1.24
b. 90-day shocks (departure from the preceding 90 days),Other flyway states,90,Temperature,Lag 15-21 days,1.13,0.86,1.49
b. 90-day shocks (departure from the preceding 90 days),Other flyway states,90,Precipitation,Lag 15-21 days,1.07,0.92,1.24
b. 90-day shocks (departure from the preceding 90 days),Other flyway states,90,Soil moisture,Lag 15-21 days,0.9,0.8,1.02
b. 90-day shocks (departure from the preceding 90 days),Other flyway states,90,Wind speed,Lag 15-21 days,0.96,0.85,1.1
b. 90-day shocks (departure from the preceding 90 days),Other flyway states,90,Runoff,Lag 15-21 days,0.98,0.85,1.12
b. 90-day shocks (departure from the preceding 90 days),Other flyway states,90,Anseriformes,Lag 15-21 days,1.14,1.01,1.29
b. 90-day shocks (departure from the preceding 90 days),Other flyway states,90,Temperature,Lag 22-28 days,1.21,0.82,1.8
b. 90-day shocks (departure from the preceding 90 days),Other flyway states,90,Precipitation,Lag 22-28 days,1.09,0.9,1.31
b. 90-day shocks (departure from the preceding 90 days),Other flyway states,90,Soil moisture,Lag 22-28 days,0.97,0.82,1.15
b. 90-day shocks (departure from the preceding 90 days),Other flyway states,90,Wind speed,Lag 22-28 days,0.87,0.73,1.02
b. 90-day shocks (departure from the preceding 90 days),Other flyway states,90,Runoff,Lag 22-28 days,1,0.82,1.21
b. 90-day shocks (departure from the preceding 90 days),Other flyway states,90,Anseriformes,Lag 22-28 days,1.21,0.98,1.48
b. 90-day shocks (departure from the preceding 90 days),Pooled,175,Temperature,Lag 0-7 days,1.26,0.92,1.7
b. 90-day shocks (departure from the preceding 90 days),Pooled,175,Precipitation,Lag 0-7 days,0.89,0.76,1.05
b. 90-day shocks (departure from the preceding 90 days),Pooled,175,Soil moisture,Lag 0-7 days,0.81,0.7,0.94
b. 90-day shocks (departure from the preceding 90 days),Pooled,175,Wind speed,Lag 0-7 days,1.18,1.03,1.35
b. 90-day shocks (departure from the preceding 90 days),Pooled,175,Runoff,Lag 0-7 days,1.04,0.87,1.25
b. 90-day shocks (departure from the preceding 90 days),Pooled,175,Anseriformes,Lag 0-7 days,1.06,0.86,1.32
b. 90-day shocks (departure from the preceding 90 days),Pooled,175,Temperature,Lag 8-14 days,1.19,0.99,1.42
b. 90-day shocks (departure from the preceding 90 days),Pooled,175,Precipitation,Lag 8-14 days,0.93,0.84,1.03
b. 90-day shocks (departure from the preceding 90 days),Pooled,175,Soil moisture,Lag 8-14 days,0.88,0.8,0.96
b. 90-day shocks (departure from the preceding 90 days),Pooled,175,Wind speed,Lag 8-14 days,1.07,0.98,1.17
b. 90-day shocks (departure from the preceding 90 days),Pooled,175,Runoff,Lag 8-14 days,1.03,0.92,1.15
b. 90-day shocks (departure from the preceding 90 days),Pooled,175,Anseriformes,Lag 8-14 days,1.19,1.07,1.32
b. 90-day shocks (departure from the preceding 90 days),Pooled,175,Temperature,Lag 15-21 days,1.15,0.97,1.37
b. 90-day shocks (departure from the preceding 90 days),Pooled,175,Precipitation,Lag 15-21 days,0.96,0.88,1.05
b. 90-day shocks (departure from the preceding 90 days),Pooled,175,Soil moisture,Lag 15-21 days,0.92,0.84,1.01
b. 90-day shocks (departure from the preceding 90 days),Pooled,175,Wind speed,Lag 15-21 days,1,0.91,1.09
b. 90-day shocks (departure from the preceding 90 days),Pooled,175,Runoff,Lag 15-21 days,1.02,0.91,1.14
b. 90-day shocks (departure from the preceding 90 days),Pooled,175,Anseriformes,Lag 15-21 days,1.32,1.17,1.49
b. 90-day shocks (departure from the preceding 90 days),Pooled,175,Temperature,Lag 22-28 days,1.12,0.88,1.43
b. 90-day shocks (departure from the preceding 90 days),Pooled,175,Precipitation,Lag 22-28 days,0.99,0.88,1.11
b. 90-day shocks (departure from the preceding 90 days),Pooled,175,Soil moisture,Lag 22-28 days,0.97,0.85,1.1
b. 90-day shocks (departure from the preceding 90 days),Pooled,175,Wind speed,Lag 22-28 days,0.93,0.82,1.04
b. 90-day shocks (departure from the preceding 90 days),Pooled,175,Runoff,Lag 22-28 days,1.01,0.87,1.18
b. 90-day shocks (departure from the preceding 90 days),Pooled,175,Anseriformes,Lag 22-28 days,1.47,1.2,1.8
