Kind,Panel,Exposure,Window,n,group,RR,low,high
Absolute conditions,Other northern Mississippi Flyway states,Runoff,Lag 8-14 days,90,"High waterfowl (+1 SD, lag 15-28 d)",1.01,0.51,2.06
Absolute conditions,Other northern Mississippi Flyway states,Runoff,Lag 0-14 days,90,"High waterfowl (+1 SD, lag 15-28 d)",1,0.32,3.26
Absolute conditions,All northern Mississippi Flyway states,Temperature,Lag 0-7 days,175,"High waterfowl (+1 SD, lag 15-28 d)",0.96,0.7,1.31
Absolute conditions,All northern Mississippi Flyway states,Temperature,Lag 8-14 days,175,"High waterfowl (+1 SD, lag 15-28 d)",1.12,0.78,1.61
Absolute conditions,All northern Mississippi Flyway states,Temperature,Lag 0-14 days,175,"High waterfowl (+1 SD, lag 15-28 d)",1.08,0.65,1.8
Absolute conditions,All northern Mississippi Flyway states,Precipitation,Lag 0-7 days,175,"High waterfowl (+1 SD, lag 15-28 d)",0.98,0.7,1.37
Absolute conditions,All northern Mississippi Flyway states,Precipitation,Lag 8-14 days,175,"High waterfowl (+1 SD, lag 15-28 d)",0.73,0.53,1.01
Absolute conditions,All northern Mississippi Flyway states,Precipitation,Lag 0-14 days,175,"High waterfowl (+1 SD, lag 15-28 d)",0.71,0.41,1.24
Absolute conditions,All northern Mississippi Flyway states,Soil moisture,Lag 0-7 days,175,"High waterfowl (+1 SD, lag 15-28 d)",1.08,0.76,1.52
Absolute conditions,All northern Mississippi Flyway states,Soil moisture,Lag 8-14 days,175,"High waterfowl (+1 SD, lag 15-28 d)",1.19,0.81,1.72
Absolute conditions,All northern Mississippi Flyway states,Soil moisture,Lag 0-14 days,175,"High waterfowl (+1 SD, lag 15-28 d)",1.29,0.72,2.27
Absolute conditions,All northern Mississippi Flyway states,Wind speed,Lag 0-7 days,175,"High waterfowl (+1 SD, lag 15-28 d)",1.06,0.85,1.34
Absolute conditions,All northern Mississippi Flyway states,Wind speed,Lag 8-14 days,175,"High waterfowl (+1 SD, lag 15-28 d)",1.15,0.9,1.47
Absolute conditions,All northern Mississippi Flyway states,Wind speed,Lag 0-14 days,175,"High waterfowl (+1 SD, lag 15-28 d)",1.22,0.82,1.85
Absolute conditions,All northern Mississippi Flyway states,Runoff,Lag 0-7 days,175,"High waterfowl (+1 SD, lag 15-28 d)",1.1,0.75,1.6
Absolute conditions,All northern Mississippi Flyway states,Runoff,Lag 8-14 days,175,"High waterfowl (+1 SD, lag 15-28 d)",1.27,0.82,1.97
Absolute conditions,All northern Mississippi Flyway states,Runoff,Lag 0-14 days,175,"High waterfowl (+1 SD, lag 15-28 d)",1.4,0.68,2.85
90-day shock,Minnesota,Temperature,Lag 0-7 days,85,"High waterfowl (+1 SD, lag 15-28 d)",1.02,0.62,1.7
90-day shock,Minnesota,Temperature,Lag 8-14 days,85,"High waterfowl (+1 SD, lag 15-28 d)",1.26,0.76,2.07
90-day shock,Minnesota,Temperature,Lag 0-14 days,85,"High waterfowl (+1 SD, lag 15-28 d)",1.29,0.55,2.88
90-day shock,Minnesota,Precipitation,Lag 0-7 days,85,"High waterfowl (+1 SD, lag 15-28 d)",0.79,0.62,1.02
90-day shock,Minnesota,Precipitation,Lag 8-14 days,85,"High waterfowl (+1 SD, lag 15-28 d)",0.6,0.44,0.81
90-day shock,Minnesota,Precipitation,Lag 0-14 days,85,"High waterfowl (+1 SD, lag 15-28 d)",0.48,0.29,0.77
90-day shock,Minnesota,Soil moisture,Lag 0-7 days,85,"High waterfowl (+1 SD, lag 15-28 d)",0.82,0.62,1.11
90-day shock,Minnesota,Soil moisture,Lag 8-14 days,85,"High waterfowl (+1 SD, lag 15-28 d)",0.83,0.61,1.1
90-day shock,Minnesota,Soil moisture,Lag 0-14 days,85,"High waterfowl (+1 SD, lag 15-28 d)",0.68,0.43,1.06
90-day shock,Minnesota,Wind speed,Lag 0-7 days,85,"High waterfowl (+1 SD, lag 15-28 d)",1,0.8,1.25
90-day shock,Minnesota,Wind speed,Lag 8-14 days,85,"High waterfowl (+1 SD, lag 15-28 d)",1.08,0.83,1.41
90-day shock,Minnesota,Wind speed,Lag 0-14 days,85,"High waterfowl (+1 SD, lag 15-28 d)",1.08,0.69,1.69
90-day shock,Minnesota,Runoff,Lag 0-7 days,85,"High waterfowl (+1 SD, lag 15-28 d)",1.16,0.86,1.59
90-day shock,Minnesota,Runoff,Lag 8-14 days,85,"High waterfowl (+1 SD, lag 15-28 d)",1.46,1.03,2.07
90-day shock,Minnesota,Runoff,Lag 0-14 days,85,"High waterfowl (+1 SD, lag 15-28 d)",1.7,0.94,3.07
90-day shock,Other northern Mississippi Flyway states,Temperature,Lag 0-7 days,90,"High waterfowl (+1 SD, lag 15-28 d)",1.31,0.79,2.18
90-day shock,Other northern Mississippi Flyway states,Temperature,Lag 8-14 days,90,"High waterfowl (+1 SD, lag 15-28 d)",1.53,0.87,2.73
90-day shock,Other northern Mississippi Flyway states,Temperature,Lag 0-14 days,90,"High waterfowl (+1 SD, lag 15-28 d)",1.99,0.8,5.04
90-day shock,Other northern Mississippi Flyway states,Precipitation,Lag 0-7 days,90,"High waterfowl (+1 SD, lag 15-28 d)",0.96,0.71,1.3
90-day shock,Other northern Mississippi Flyway states,Precipitation,Lag 8-14 days,90,"High waterfowl (+1 SD, lag 15-28 d)",1,0.69,1.46
90-day shock,Other northern Mississippi Flyway states,Precipitation,Lag 0-14 days,90,"High waterfowl (+1 SD, lag 15-28 d)",0.96,0.54,1.72
90-day shock,Other northern Mississippi Flyway states,Soil moisture,Lag 0-7 days,90,"High waterfowl (+1 SD, lag 15-28 d)",0.93,0.73,1.2
90-day shock,Other northern Mississippi Flyway states,Soil moisture,Lag 8-14 days,90,"High waterfowl (+1 SD, lag 15-28 d)",0.87,0.66,1.19
90-day shock,Other northern Mississippi Flyway states,Soil moisture,Lag 0-14 days,90,"High waterfowl (+1 SD, lag 15-28 d)",0.82,0.53,1.28
90-day shock,Other northern Mississippi Flyway states,Wind speed,Lag 0-7 days,90,"High waterfowl (+1 SD, lag 15-28 d)",1.01,0.8,1.27
90-day shock,Other northern Mississippi Flyway states,Wind speed,Lag 8-14 days,90,"High waterfowl (+1 SD, lag 15-28 d)",0.96,0.69,1.33
90-day shock,Other northern Mississippi Flyway states,Wind speed,Lag 0-14 days,90,"High waterfowl (+1 SD, lag 15-28 d)",0.97,0.6,1.55
90-day shock,Other northern Mississippi Flyway states,Runoff,Lag 0-7 days,90,"High waterfowl (+1 SD, lag 15-28 d)",0.96,0.74,1.24
90-day shock,Other northern Mississippi Flyway states,Runoff,Lag 8-14 days,90,"High waterfowl (+1 SD, lag 15-28 d)",0.91,0.67,1.24
90-day shock,Other northern Mississippi Flyway states,Runoff,Lag 0-14 days,90,"High waterfowl (+1 SD, lag 15-28 d)",0.87,0.53,1.45
90-day shock,All northern Mississippi Flyway states,Temperature,Lag 0-7 days,175,"High waterfowl (+1 SD, lag 15-28 d)",1.34,0.92,1.89
90-day shock,All northern Mississippi Flyway states,Temperature,Lag 8-14 days,175,"High waterfowl (+1 SD, lag 15-28 d)",1.78,1.21,2.6
90-day shock,All northern Mississippi Flyway states,Temperature,Lag 0-14 days,175,"High waterfowl (+1 SD, lag 15-28 d)",2.37,1.29,4.18
90-day shock,All northern Mississippi Flyway states,Precipitation,Lag 0-7 days,175,"High waterfowl (+1 SD, lag 15-28 d)",0.91,0.74,1.12
90-day shock,All northern Mississippi Flyway states,Precipitation,Lag 8-14 days,175,"High waterfowl (+1 SD, lag 15-28 d)",0.75,0.59,0.96
90-day shock,All northern Mississippi Flyway states,Precipitation,Lag 0-14 days,175,"High waterfowl (+1 SD, lag 15-28 d)",0.68,0.47,0.99
90-day shock,All northern Mississippi Flyway states,Soil moisture,Lag 0-7 days,175,"High waterfowl (+1 SD, lag 15-28 d)",0.95,0.77,1.17
90-day shock,All northern Mississippi Flyway states,Soil moisture,Lag 8-14 days,175,"High waterfowl (+1 SD, lag 15-28 d)",0.89,0.71,1.1
90-day shock,All northern Mississippi Flyway states,Soil moisture,Lag 0-14 days,175,"High waterfowl (+1 SD, lag 15-28 d)",0.84,0.61,1.17
90-day shock,All northern Mississippi Flyway states,Wind speed,Lag 0-7 days,175,"High waterfowl (+1 SD, lag 15-28 d)",1.01,0.85,1.19
90-day shock,All northern Mississippi Flyway states,Wind speed,Lag 8-14 days,175,"High waterfowl (+1 SD, lag 15-28 d)",1.08,0.87,1.33
90-day shock,All northern Mississippi Flyway states,Wind speed,Lag 0-14 days,175,"High waterfowl (+1 SD, lag 15-28 d)",1.09,0.78,1.49
90-day shock,All northern Mississippi Flyway states,Runoff,Lag 0-7 days,175,"High waterfowl (+1 SD, lag 15-28 d)",1.08,0.86,1.37
90-day shock,All northern Mississippi Flyway states,Runoff,Lag 8-14 days,175,"High waterfowl (+1 SD, lag 15-28 d)",1.19,0.92,1.56
90-day shock,All northern Mississippi Flyway states,Runoff,Lag 0-14 days,175,"High waterfowl (+1 SD, lag 15-28 d)",1.3,0.84,2.01
Absolute conditions,Minnesota,Temperature,Lag 0-7 days,85,"Low waterfowl (-1 SD, lag 15-28 d)",1.09,0.7,1.67
Absolute conditions,Minnesota,Temperature,Lag 8-14 days,85,"Low waterfowl (-1 SD, lag 15-28 d)",0.78,0.48,1.3
Absolute conditions,Minnesota,Temperature,Lag 0-14 days,85,"Low waterfowl (-1 SD, lag 15-28 d)",0.85,0.42,1.74
Absolute conditions,Minnesota,Precipitation,Lag 0-7 days,85,"Low waterfowl (-1 SD, lag 15-28 d)",1.07,0.66,1.78
Absolute conditions,Minnesota,Precipitation,Lag 8-14 days,85,"Low waterfowl (-1 SD, lag 15-28 d)",1.05,0.62,1.85
Absolute conditions,Minnesota,Precipitation,Lag 0-14 days,85,"Low waterfowl (-1 SD, lag 15-28 d)",1.13,0.46,2.88
Absolute conditions,Minnesota,Soil moisture,Lag 0-7 days,85,"Low waterfowl (-1 SD, lag 15-28 d)",1.02,0.6,1.74
Absolute conditions,Minnesota,Soil moisture,Lag 8-14 days,85,"Low waterfowl (-1 SD, lag 15-28 d)",1.15,0.64,2.09
Absolute conditions,Minnesota,Soil moisture,Lag 0-14 days,85,"Low waterfowl (-1 SD, lag 15-28 d)",1.17,0.46,2.99
Absolute conditions,Minnesota,Wind speed,Lag 0-7 days,85,"Low waterfowl (-1 SD, lag 15-28 d)",0.98,0.72,1.34
Absolute conditions,Minnesota,Wind speed,Lag 8-14 days,85,"Low waterfowl (-1 SD, lag 15-28 d)",1.08,0.75,1.55
Absolute conditions,Minnesota,Wind speed,Lag 0-14 days,85,"Low waterfowl (-1 SD, lag 15-28 d)",1.06,0.58,1.92
Absolute conditions,Minnesota,Runoff,Lag 0-7 days,85,"Low waterfowl (-1 SD, lag 15-28 d)",0.9,0.57,1.42
Absolute conditions,Minnesota,Runoff,Lag 8-14 days,85,"Low waterfowl (-1 SD, lag 15-28 d)",0.85,0.5,1.44
Absolute conditions,Minnesota,Runoff,Lag 0-14 days,85,"Low waterfowl (-1 SD, lag 15-28 d)",0.76,0.31,1.88
Absolute conditions,Other northern Mississippi Flyway states,Temperature,Lag 0-7 days,90,"Low waterfowl (-1 SD, lag 15-28 d)",1.23,0.9,1.72
Absolute conditions,Other northern Mississippi Flyway states,Temperature,Lag 8-14 days,90,"Low waterfowl (-1 SD, lag 15-28 d)",0.84,0.58,1.19
Absolute conditions,Other northern Mississippi Flyway states,Temperature,Lag 0-14 days,90,"Low waterfowl (-1 SD, lag 15-28 d)",1.03,0.65,1.66
Absolute conditions,Other northern Mississippi Flyway states,Precipitation,Lag 0-7 days,90,"Low waterfowl (-1 SD, lag 15-28 d)",0.77,0.49,1.24
Absolute conditions,Other northern Mississippi Flyway states,Precipitation,Lag 8-14 days,90,"Low waterfowl (-1 SD, lag 15-28 d)",0.78,0.48,1.26
Absolute conditions,Other northern Mississippi Flyway states,Precipitation,Lag 0-14 days,90,"Low waterfowl (-1 SD, lag 15-28 d)",0.61,0.27,1.33
Absolute conditions,Other northern Mississippi Flyway states,Soil moisture,Lag 0-7 days,90,"Low waterfowl (-1 SD, lag 15-28 d)",0.9,0.57,1.41
Absolute conditions,Other northern Mississippi Flyway states,Soil moisture,Lag 8-14 days,90,"Low waterfowl (-1 SD, lag 15-28 d)",0.89,0.55,1.52
Absolute conditions,Other northern Mississippi Flyway states,Soil moisture,Lag 0-14 days,90,"Low waterfowl (-1 SD, lag 15-28 d)",0.81,0.37,1.75
Absolute conditions,Other northern Mississippi Flyway states,Wind speed,Lag 0-7 days,90,"Low waterfowl (-1 SD, lag 15-28 d)",0.95,0.7,1.26
Absolute conditions,Other northern Mississippi Flyway states,Wind speed,Lag 8-14 days,90,"Low waterfowl (-1 SD, lag 15-28 d)",0.85,0.61,1.18
Absolute conditions,Other northern Mississippi Flyway states,Wind speed,Lag 0-14 days,90,"Low waterfowl (-1 SD, lag 15-28 d)",0.8,0.46,1.38
Absolute conditions,Other northern Mississippi Flyway states,Runoff,Lag 0-7 days,90,"Low waterfowl (-1 SD, lag 15-28 d)",0.92,0.51,1.65
Absolute conditions,Other northern Mississippi Flyway states,Runoff,Lag 8-14 days,90,"Low waterfowl (-1 SD, lag 15-28 d)",0.86,0.42,1.77
Absolute conditions,Other northern Mississippi Flyway states,Runoff,Lag 0-14 days,90,"Low waterfowl (-1 SD, lag 15-28 d)",0.8,0.24,2.69
Absolute conditions,All northern Mississippi Flyway states,Temperature,Lag 0-7 days,175,"Low waterfowl (-1 SD, lag 15-28 d)",1.37,1.01,1.85
Absolute conditions,All northern Mississippi Flyway states,Temperature,Lag 8-14 days,175,"Low waterfowl (-1 SD, lag 15-28 d)",0.73,0.53,1
Absolute conditions,All northern Mississippi Flyway states,Temperature,Lag 0-14 days,175,"Low waterfowl (-1 SD, lag 15-28 d)",0.99,0.65,1.49
Absolute conditions,All northern Mississippi Flyway states,Precipitation,Lag 0-7 days,175,"Low waterfowl (-1 SD, lag 15-28 d)",0.85,0.57,1.25
Absolute conditions,All northern Mississippi Flyway states,Precipitation,Lag 8-14 days,175,"Low waterfowl (-1 SD, lag 15-28 d)",0.81,0.54,1.18
Absolute conditions,All northern Mississippi Flyway states,Precipitation,Lag 0-14 days,175,"Low waterfowl (-1 SD, lag 15-28 d)",0.68,0.35,1.28
Absolute conditions,All northern Mississippi Flyway states,Soil moisture,Lag 0-7 days,175,"Low waterfowl (-1 SD, lag 15-28 d)",0.93,0.62,1.38
Absolute conditions,All northern Mississippi Flyway states,Soil moisture,Lag 8-14 days,175,"Low waterfowl (-1 SD, lag 15-28 d)",1,0.65,1.52
Absolute conditions,All northern Mississippi Flyway states,Soil moisture,Lag 0-14 days,175,"Low waterfowl (-1 SD, lag 15-28 d)",0.92,0.48,1.74
Absolute conditions,All northern Mississippi Flyway states,Wind speed,Lag 0-7 days,175,"Low waterfowl (-1 SD, lag 15-28 d)",0.95,0.75,1.21
Absolute conditions,All northern Mississippi Flyway states,Wind speed,Lag 8-14 days,175,"Low waterfowl (-1 SD, lag 15-28 d)",0.96,0.73,1.26
Absolute conditions,All northern Mississippi Flyway states,Wind speed,Lag 0-14 days,175,"Low waterfowl (-1 SD, lag 15-28 d)",0.92,0.58,1.43
Absolute conditions,All northern Mississippi Flyway states,Runoff,Lag 0-7 days,175,"Low waterfowl (-1 SD, lag 15-28 d)",0.87,0.57,1.35
Absolute conditions,All northern Mississippi Flyway states,Runoff,Lag 8-14 days,175,"Low waterfowl (-1 SD, lag 15-28 d)",0.81,0.49,1.31
Absolute conditions,All northern Mississippi Flyway states,Runoff,Lag 0-14 days,175,"Low waterfowl (-1 SD, lag 15-28 d)",0.7,0.31,1.65
90-day shock,Minnesota,Temperature,Lag 0-7 days,85,"Low waterfowl (-1 SD, lag 15-28 d)",1.39,0.84,2.35
90-day shock,Minnesota,Temperature,Lag 8-14 days,85,"Low waterfowl (-1 SD, lag 15-28 d)",1.13,0.67,1.91
90-day shock,Minnesota,Temperature,Lag 0-14 days,85,"Low waterfowl (-1 SD, lag 15-28 d)",1.58,0.67,3.61
90-day shock,Minnesota,Precipitation,Lag 0-7 days,85,"Low waterfowl (-1 SD, lag 15-28 d)",1.11,0.83,1.5
90-day shock,Minnesota,Precipitation,Lag 8-14 days,85,"Low waterfowl (-1 SD, lag 15-28 d)",1.2,0.88,1.64
90-day shock,Minnesota,Precipitation,Lag 0-14 days,85,"Low waterfowl (-1 SD, lag 15-28 d)",1.32,0.82,2.23
90-day shock,Minnesota,Soil moisture,Lag 0-7 days,85,"Low waterfowl (-1 SD, lag 15-28 d)",0.99,0.73,1.34
90-day shock,Minnesota,Soil moisture,Lag 8-14 days,85,"Low waterfowl (-1 SD, lag 15-28 d)",1.03,0.77,1.38
90-day shock,Minnesota,Soil moisture,Lag 0-14 days,85,"Low waterfowl (-1 SD, lag 15-28 d)",1.03,0.65,1.64
90-day shock,Minnesota,Wind speed,Lag 0-7 days,85,"Low waterfowl (-1 SD, lag 15-28 d)",1.01,0.81,1.25
90-day shock,Minnesota,Wind speed,Lag 8-14 days,85,"Low waterfowl (-1 SD, lag 15-28 d)",1.16,0.9,1.51
90-day shock,Minnesota,Wind speed,Lag 0-14 days,85,"Low waterfowl (-1 SD, lag 15-28 d)",1.16,0.78,1.77
90-day shock,Minnesota,Runoff,Lag 0-7 days,85,"Low waterfowl (-1 SD, lag 15-28 d)",0.92,0.69,1.22
90-day shock,Minnesota,Runoff,Lag 8-14 days,85,"Low waterfowl (-1 SD, lag 15-28 d)",0.99,0.7,1.39
90-day shock,Minnesota,Runoff,Lag 0-14 days,85,"Low waterfowl (-1 SD, lag 15-28 d)",0.91,0.51,1.59
90-day shock,Other northern Mississippi Flyway states,Temperature,Lag 0-7 days,90,"Low waterfowl (-1 SD, lag 15-28 d)",0.69,0.42,1.15
90-day shock,Other northern Mississippi Flyway states,Temperature,Lag 8-14 days,90,"Low waterfowl (-1 SD, lag 15-28 d)",0.39,0.21,0.7
90-day shock,Other northern Mississippi Flyway states,Temperature,Lag 0-14 days,90,"Low waterfowl (-1 SD, lag 15-28 d)",0.27,0.11,0.64
90-day shock,Other northern Mississippi Flyway states,Precipitation,Lag 0-7 days,90,"Low waterfowl (-1 SD, lag 15-28 d)",0.85,0.58,1.26
90-day shock,Other northern Mississippi Flyway states,Precipitation,Lag 8-14 days,90,"Low waterfowl (-1 SD, lag 15-28 d)",0.92,0.58,1.46
90-day shock,Other northern Mississippi Flyway states,Precipitation,Lag 0-14 days,90,"Low waterfowl (-1 SD, lag 15-28 d)",0.79,0.37,1.68
90-day shock,Other northern Mississippi Flyway states,Soil moisture,Lag 0-7 days,90,"Low waterfowl (-1 SD, lag 15-28 d)",0.74,0.57,0.95
90-day shock,Other northern Mississippi Flyway states,Soil moisture,Lag 8-14 days,90,"Low waterfowl (-1 SD, lag 15-28 d)",0.73,0.53,1
90-day shock,Other northern Mississippi Flyway states,Soil moisture,Lag 0-14 days,90,"Low waterfowl (-1 SD, lag 15-28 d)",0.54,0.34,0.86
90-day shock,Other northern Mississippi Flyway states,Wind speed,Lag 0-7 days,90,"Low waterfowl (-1 SD, lag 15-28 d)",1.08,0.82,1.43
90-day shock,Other northern Mississippi Flyway states,Wind speed,Lag 8-14 days,90,"Low waterfowl (-1 SD, lag 15-28 d)",1.27,0.95,1.71
90-day shock,Other northern Mississippi Flyway states,Wind speed,Lag 0-14 days,90,"Low waterfowl (-1 SD, lag 15-28 d)",1.38,0.84,2.22
90-day shock,Other northern Mississippi Flyway states,Runoff,Lag 0-7 days,90,"Low waterfowl (-1 SD, lag 15-28 d)",0.92,0.71,1.18
90-day shock,Other northern Mississippi Flyway states,Runoff,Lag 8-14 days,90,"Low waterfowl (-1 SD, lag 15-28 d)",0.95,0.71,1.26
90-day shock,Other northern Mississippi Flyway states,Runoff,Lag 0-14 days,90,"Low waterfowl (-1 SD, lag 15-28 d)",0.87,0.55,1.37
90-day shock,All northern Mississippi Flyway states,Temperature,Lag 0-7 days,175,"Low waterfowl (-1 SD, lag 15-28 d)",0.98,0.66,1.43
90-day shock,All northern Mississippi Flyway states,Temperature,Lag 8-14 days,175,"Low waterfowl (-1 SD, lag 15-28 d)",0.58,0.39,0.89
90-day shock,All northern Mississippi Flyway states,Temperature,Lag 0-14 days,175,"Low waterfowl (-1 SD, lag 15-28 d)",0.57,0.31,1.05
90-day shock,All northern Mississippi Flyway states,Precipitation,Lag 0-7 days,175,"Low waterfowl (-1 SD, lag 15-28 d)",0.94,0.71,1.23
90-day shock,All northern Mississippi Flyway states,Precipitation,Lag 8-14 days,175,"Low waterfowl (-1 SD, lag 15-28 d)",1.05,0.79,1.38
90-day shock,All northern Mississippi Flyway states,Precipitation,Lag 0-14 days,175,"Low waterfowl (-1 SD, lag 15-28 d)",0.98,0.62,1.53
90-day shock,All northern Mississippi Flyway states,Soil moisture,Lag 0-7 days,175,"Low waterfowl (-1 SD, lag 15-28 d)",0.78,0.63,0.98
90-day shock,All northern Mississippi Flyway states,Soil moisture,Lag 8-14 days,175,"Low waterfowl (-1 SD, lag 15-28 d)",0.85,0.67,1.08
90-day shock,All northern Mississippi Flyway states,Soil moisture,Lag 0-14 days,175,"Low waterfowl (-1 SD, lag 15-28 d)",0.67,0.47,0.94
90-day shock,All northern Mississippi Flyway states,Wind speed,Lag 0-7 days,175,"Low waterfowl (-1 SD, lag 15-28 d)",1.06,0.89,1.27
90-day shock,All northern Mississippi Flyway states,Wind speed,Lag 8-14 days,175,"Low waterfowl (-1 SD, lag 15-28 d)",1.25,1.02,1.53
90-day shock,All northern Mississippi Flyway states,Wind speed,Lag 0-14 days,175,"Low waterfowl (-1 SD, lag 15-28 d)",1.33,0.96,1.83
90-day shock,All northern Mississippi Flyway states,Runoff,Lag 0-7 days,175,"Low waterfowl (-1 SD, lag 15-28 d)",0.9,0.73,1.13
90-day shock,All northern Mississippi Flyway states,Runoff,Lag 8-14 days,175,"Low waterfowl (-1 SD, lag 15-28 d)",1.03,0.81,1.31
90-day shock,All northern Mississippi Flyway states,Runoff,Lag 0-14 days,175,"Low waterfowl (-1 SD, lag 15-28 d)",0.93,0.64,1.37
