zone_id,layer
"19,259",negative_control
"19,260",negative_control
"19,261",negative_control
"19,262",negative_control
"19,263",negative_control
"19,267",negative_control
"19,268",negative_control
"19,271",negative_control
"2,227",negative_control
"2,228",negative_control
"2,229",negative_control
"2,230",negative_control
"2,231",negative_control
"2,232",negative_control
"2,233",negative_control
"2,234",negative_control
"2,235",negative_control
"2,236",negative_control
"2,237",negative_control
"2,238",negative_control
"2,239",negative_control
"2,240",negative_control
"2,241",negative_control
"2,242",negative_control
"2,243",negative_control
"2,244",negative_control
"2,245",negative_control
"2,246",negative_control
"2,247",negative_control
"2,248",negative_control
"2,249",negative_control
"2,250",negative_control
"2,251",negative_control
"2,252",negative_control
"2,253",negative_control
"2,254",negative_control
"2,255",negative_control
"2,256",negative_control
"2,257",negative_control
"2,258",negative_control
"2,259",negative_control
"2,260",negative_control
"2,261",negative_control
"2,262",negative_control
"2,263",negative_control
"2,264",negative_control
"2,265",negative_control
"2,267",negative_control
"2,270",negative_control
"2,271",negative_control
"2,272",negative_control
"2,273",negative_control
"2,274",negative_control
"2,275",negative_control
"2,276",negative_control
"2,277",negative_control
"2,278",negative_control
"2,279",negative_control
"2,280",negative_control
"2,281",negative_control
"2,283",negative_control
"2,284",negative_control
"2,285",negative_control
"2,286",negative_control
"2,287",negative_control
"20,228",negative_control
"20,229",negative_control
"20,230",negative_control
"20,231",negative_control
"20,232",negative_control
"20,233",negative_control
"20,234",negative_control
"20,235",negative_control
"20,236",negative_control
"20,237",negative_control
"20,238",negative_control
"20,239",negative_control
"20,240",negative_control
"20,241",negative_control
"20,242",negative_control
"20,246",negative_control
"20,247",negative_control
"20,249",negative_control
"20,250",negative_control
"20,251",negative_control
"20,252",negative_control
"20,253",negative_control
"20,254",negative_control
"20,255",negative_control
"20,256",negative_control
"20,257",negative_control
"20,258",negative_control
"20,261",negative_control
"20,263",negative_control
"20,265",negative_control
"20,266",negative_control
"20,267",negative_control
"20,268",negative_control
"20,269",negative_control
"20,270",negative_control
"20,271",negative_control
"20,282",negative_control
"21,228",negative_control
"21,229",negative_control
"21,230",negative_control
"21,232",negative_control
"21,233",negative_control
"21,234",negative_control
"21,235",negative_control
"21,236",negative_control
"21,237",negative_control
"21,238",negative_control
"21,239",negative_control
"21,240",negative_control
"21,241",negative_control
"21,242",negative_control
"21,244",negative_control
"21,247",negative_control
"21,248",negative_control
"21,250",negative_control
"21,251",negative_control
"21,252",negative_control
"21,253",negative_control
"21,254",negative_control
"21,255",negative_control
"21,256",negative_control
"21,258",negative_control
"21,259",negative_control
"21,261",negative_control
"21,262",negative_control
"21,267",negative_control
"21,268",negative_control
"21,276",negative_control
"22,228",negative_control
"22,229",negative_control
"22,230",negative_control
"22,231",negative_control
"22,232",negative_control
"22,233",negative_control
"22,234",negative_control
"22,235",negative_control
"22,237",negative_control
"22,238",negative_control
"22,240",negative_control
"22,241",negative_control
"22,242",negative_control
"22,244",negative_control
"22,247",negative_control
"22,249",negative_control
"22,250",negative_control
"22,251",negative_control
"22,252",negative_control
"22,253",negative_control
"22,254",negative_control
"22,255",negative_control
"22,256",negative_control
"22,257",negative_control
"22,258",negative_control
"22,259",negative_control
"22,261",negative_control
"22,263",negative_control
"22,264",negative_control
"22,266",negative_control
"23,228",negative_control
"23,229",negative_control
"23,230",negative_control
"23,231",negative_control
"23,232",negative_control
"23,233",negative_control
"23,234",negative_control
"23,235",negative_control
"23,236",negative_control
"23,237",negative_control
"23,238",negative_control
"23,239",negative_control
"23,240",negative_control
"23,241",negative_control
"23,242",negative_control
"23,246",negative_control
"23,247",negative_control
"23,248",negative_control
"23,251",negative_control
"23,253",negative_control
"23,254",negative_control
"23,255",negative_control
"23,256",negative_control
"23,257",negative_control
"23,258",negative_control
"23,259",negative_control
"23,260",negative_control
"23,261",negative_control
"23,262",negative_control
"23,264",negative_control
"23,265",negative_control
"23,266",negative_control
"23,267",negative_control
"23,268",negative_control
"23,271",negative_control
"23,276",negative_control
"23,278",negative_control
"24,228",negative_control
"24,229",negative_control
"24,231",negative_control
"24,232",negative_control
"24,235",negative_control
"24,236",negative_control
"24,237",negative_control
"24,238",negative_control
"24,239",negative_control
"24,240",negative_control
"24,241",negative_control
"24,242",negative_control
"24,243",negative_control
"24,244",negative_control
"24,245",negative_control
"24,246",negative_control
"24,247",negative_control
"24,248",negative_control
"24,249",negative_control
"24,250",negative_control
"24,254",negative_control
"24,255",negative_control
"24,256",negative_control
"24,257",negative_control
"24,258",negative_control
"24,259",negative_control
"24,260",negative_control
"24,261",negative_control
"24,263",negative_control
"24,265",negative_control
"24,266",negative_control
"24,267",negative_control
"24,268",negative_control
"24,269",negative_control
"24,270",negative_control
"24,272",negative_control
"24,275",negative_control
"24,276",negative_control
"25,228",negative_control
"25,229",negative_control
"25,230",negative_control
"25,231",negative_control
"25,232",negative_control
"25,233",negative_control
"25,234",negative_control
"25,235",negative_control
"25,236",negative_control
"25,237",negative_control
"25,238",negative_control
"25,239",negative_control
"25,240",negative_control
"25,256",negative_control
"25,258",negative_control
"25,259",negative_control
"25,260",negative_control
"25,261",negative_control
"25,262",negative_control
"25,263",negative_control
"25,268",negative_control
"25,269",negative_control
"25,270",negative_control
"25,271",negative_control
"25,272",negative_control
"25,276",negative_control
"26,228",negative_control
"26,229",negative_control
"26,230",negative_control
"26,231",negative_control
"26,232",negative_control
"26,233",negative_control
"26,234",negative_control
"26,235",negative_control
"26,236",negative_control
"26,237",negative_control
"26,238",negative_control
"26,239",negative_control
"26,257",negative_control
"26,259",negative_control
"26,260",negative_control
"26,261",negative_control
"26,262",negative_control
"26,263",negative_control
"26,266",negative_control
"26,271",negative_control
"27,228",negative_control
"27,229",negative_control
"27,230",negative_control
"27,231",negative_control
"27,232",negative_control
"27,233",negative_control
"27,234",negative_control
"27,235",negative_control
"27,236",negative_control
"27,237",negative_control
"27,238",negative_control
"27,239",negative_control
"27,261",negative_control
"27,262",negative_control
"27,263",negative_control
"27,264",negative_control
"27,265",negative_control
"28,228",negative_control
"28,229",negative_control
"28,230",negative_control
"28,231",negative_control
"28,232",negative_control
"28,233",negative_control
"28,234",negative_control
"28,235",negative_control
"28,236",negative_control
"28,237",negative_control
"28,238",negative_control
"28,239",negative_control
"28,265",negative_control
"28,270",negative_control
"28,271",negative_control
"28,272",negative_control
"29,228",negative_control
"29,229",negative_control
"29,230",negative_control
"29,231",negative_control
"29,232",negative_control
"29,233",negative_control
"29,234",negative_control
"29,235",negative_control
"29,236",negative_control
"29,237",negative_control
"29,265",negative_control
"3,227",negative_control
"3,228",negative_control
"3,229",negative_control
"3,230",negative_control
"3,231",negative_control
"3,232",negative_control
"3,233",negative_control
"3,234",negative_control
"3,235",negative_control
"3,236",negative_control
"3,237",negative_control
"3,238",negative_control
"3,239",negative_control
"3,240",negative_control
"3,241",negative_control
"3,242",negative_control
"3,243",negative_control
"3,244",negative_control
"3,245",negative_control
"3,246",negative_control
"3,247",negative_control
"3,249",negative_control
"3,250",negative_control
"3,251",negative_control
"3,253",negative_control
"3,254",negative_control
"3,255",negative_control
"3,256",negative_control
"3,257",negative_control
"3,258",negative_control
"3,259",negative_control
"3,261",negative_control
"3,262",negative_control
"3,263",negative_control
"3,264",negative_control
"3,265",negative_control
"3,266",negative_control
"3,271",negative_control
"3,272",negative_control
"3,273",negative_control
"3,274",negative_control
"3,275",negative_control
"3,277",negative_control
"3,280",negative_control
"3,281",negative_control
"3,282",negative_control
"3,283",negative_control
"3,284",negative_control
"3,286",negative_control
"3,287",negative_control
"3,288",negative_control
"30,228",negative_control
"30,229",negative_control
"30,230",negative_control
"30,231",negative_control
"30,232",negative_control
"30,233",negative_control
"30,234",negative_control
"30,235",negative_control
"30,236",negative_control
"30,237",negative_control
"30,266",negative_control
"31,228",negative_control
"31,229",negative_control
"31,230",negative_control
"31,231",negative_control
"31,232",negative_control
"31,233",negative_control
"31,234",negative_control
"31,235",negative_control
"31,236",negative_control
"31,237",negative_control
"32,228",negative_control
"32,229",negative_control
"32,230",negative_control
"32,231",negative_control
"32,232",negative_control
"32,233",negative_control
"32,234",negative_control
"32,235",negative_control
"32,267",negative_control
"32,268",negative_control
"33,228",negative_control
"33,229",negative_control
"33,230",negative_control
"33,231",negative_control
"33,232",negative_control
"33,233",negative_control
"33,234",negative_control
"34,228",negative_control
"34,229",negative_control
"34,230",negative_control
"34,231",negative_control
"34,232",negative_control
"34,233",negative_control
"35,228",negative_control
"35,229",negative_control
"35,230",negative_control
"35,231",negative_control
"35,232",negative_control
"35,233",negative_control
"36,228",negative_control
"36,229",negative_control
"36,230",negative_control
"36,231",negative_control
"36,232",negative_control
"37,228",negative_control
"37,229",negative_control
"39,275",negative_control
"4,227",negative_control
"4,228",negative_control
"4,229",negative_control
"4,230",negative_control
"4,231",negative_control
"4,232",negative_control
"4,233",negative_control
"4,234",negative_control
"4,235",negative_control
"4,236",negative_control
"4,237",negative_control
"4,238",negative_control
"4,239",negative_control
"4,240",negative_control
"4,241",negative_control
"4,242",negative_control
"4,243",negative_control
"4,244",negative_control
"4,245",negative_control
"4,246",negative_control
"4,247",negative_control
"4,250",negative_control
"4,251",negative_control
"4,252",negative_control
"4,253",negative_control
"4,254",negative_control
"4,255",negative_control
"4,256",negative_control
"4,257",negative_control
"4,259",negative_control
"4,260",negative_control
"4,262",negative_control
"4,263",negative_control
"4,264",negative_control
"4,265",negative_control
"4,266",negative_control
"4,267",negative_control
"4,270",negative_control
"4,271",negative_control
"4,272",negative_control
"4,273",negative_control
"4,274",negative_control
"4,275",negative_control
"4,280",negative_control
"4,281",negative_control
"4,286",negative_control
"4,287",negative_control
"4,288",negative_control
"43,277",negative_control
"5,227",negative_control
"5,228",negative_control
"5,229",negative_control
"5,230",negative_control
"5,231",negative_control
"5,232",negative_control
"5,233",negative_control
"5,234",negative_control
"5,235",negative_control
"5,236",negative_control
"5,237",negative_control
"5,238",negative_control
"5,239",negative_control
"5,240",negative_control
"5,241",negative_control
"5,242",negative_control
"5,243",negative_control
"5,244",negative_control
"5,245",negative_control
"5,247",negative_control
"5,248",negative_control
"5,249",negative_control
"5,250",negative_control
"5,251",negative_control
"5,252",negative_control
"5,253",negative_control
"5,254",negative_control
"5,255",negative_control
"5,256",negative_control
"5,257",negative_control
"5,258",negative_control
"5,259",negative_control
"5,260",negative_control
"5,261",negative_control
"5,262",negative_control
"5,263",negative_control
"5,264",negative_control
"5,265",negative_control
"5,266",negative_control
"5,267",negative_control
"5,270",negative_control
"5,271",negative_control
"5,272",negative_control
"5,273",negative_control
"5,274",negative_control
"5,275",negative_control
"5,286",negative_control
"5,287",negative_control
"6,227",negative_control
"6,228",negative_control
"6,229",negative_control
"6,230",negative_control
"6,231",negative_control
"6,232",negative_control
"6,233",negative_control
"6,234",negative_control
"6,235",negative_control
"6,236",negative_control
"6,237",negative_control
"6,238",negative_control
"6,239",negative_control
"6,240",negative_control
"6,241",negative_control
